"Kod::code";"Nazwa::name";"Waluta::currency_iso";"Kurs::currency_exchange";"Vat::vat_value";"Cena netto::price_netto";"Cena brutto::price_brutto";"Stara cena netto::old_price_netto";"Stara cena brutto::old_price_brutto";"Cena hurt A netto::wholesale_a_netto";"Cena hurt A brutto::wholesale_a_brutto";"Cena hurt B netto::wholesale_b_netto";"Cena hurt B brutto::wholesale_b_brutto";"Cena hurt C netto::wholesale_c_netto";"Cena hurt C brutto::wholesale_c_brutto";"Aktywny::active";"Opis::description";"Opis skrócony::short_description";"Opis do wyszukiwania::search_keywords";"Zdjęcia::product_images";"Waga::weight";"Ukryj cenę::hide_price";"Jednostka miary::uom";"Minimalna ilość::min_qty";"Maksymalna ilość::max_qty";"Wielokrotność ilości::step_qty";"Sprawdzaj stan magazynowy::is_stock_validated";"Zezwalaj na części dziesiętne w ilości::stock_in_decimals";"Zarządzaj magazynem z opcjami produktu::stock_managment";"Maksymalny rabat::max_discount";"Czas realizacji::execution_time";"Kod producenta::man_code";"Cena w punktach::points_value";"Zarobione punkty::points_earn";"Produkt tylko za punkty::points_only";"Priorytet::priority";"Ilość jednostki miary (jednostka)::bpum_default_id";"Ilość jednostki miary::bpum_default_value";"Prezentuje cenę dla (jednostka)::bpum_id";"Prezentuje cenę dla::bpum_value";"Polecane produkty::product_recommend";"Szerokość::width";"Wysokość::height";"Głębokość::depth";"Koszt dostawy::delivery_price";"Dostawy::deliveries";"Atrybuty - tytuł::attributes_label";"Dodatkowy opis::description2";"Akcesoria::product_accessories";"Dostepnosc::product_availability";"Ceneo::product_ceneo";"Magazyn::product_depository";"Google Shopping::google_shoppinig";"Kod MPN::mpn_code";"Grupa cenowa::group_price";"Pozycjonowanie_Tytuł::positioning_title";"Pozycjonowanie_Słowa_Kluczowe::positioning_keywords";"Pozycjonowanie_Opis::positioning_desc";"Nokaut::product_nokaut";"Okazje::product_okazje";"Opcje_produktu::product_options";"Radar::product_radar";"Skąpiec::product_skapiec";"Sklepy24::product_sklepy24";"Kategorie::product_categories";"Producent::product_producer"
"KB84026";"Klocki Blocki MyArmy Wóz Bojowy 180 el.";"PLN";"";"23.00";"27.99";"34.43";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Wóz Bojowy 180 el.";"";"https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026-1.jpg | https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026.jpg | https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026-2.jpg | https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026-3.jpg | https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026-4.jpg | https://icom-poland.com/media/products/dadc4fe20234657fd0d0dbbbdf7ee046/images/KB84026-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6926238130804";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"522.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB84025";"Klocki Blocki MyArmy Wyrzutnia Rakiet 210 el.";"PLN";"";"23.00";"27.99";"34.43";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Wyrzutnia Rakiet 210 el.</p>";"";"https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025-1.jpg | https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025.jpg | https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025-2.jpg | https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025-3.jpg | https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025-4.jpg | https://icom-poland.com/media/products/07ac5ac84da212add71d48446c7a11ce/images/KB84025-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6926238120805";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"745.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB82006";"Klocki Blocki MyArmy Samolot 87 el.";"PLN";"";"23.00";"13.99";"17.21";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Samolot 87 el.";"";"https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006-1.jpg | https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006.jpg | https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006-2.jpg | https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006-3.jpg | https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006-4.jpg | https://icom-poland.com/media/products/91f74536a8e5ed353a2efab4d07f4099/images/KB82006-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6927642890803";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"796.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB82007";"Klocki Blocki MyArmy Gazik 199 el.";"PLN";"";"23.00";"25.99";"31.97";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Gazik 199 el.";"";"https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007-1.jpg | https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007.jpg | https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007-2.jpg | https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007-3.jpg | https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007-4.jpg | https://icom-poland.com/media/products/69bf49571f7058ffd25b4ad5081337c6/images/KB82007-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6927642900809";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"985.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB84023";"Klocki Blocki MyArmy Helikopter 97 el.";"PLN";"";"23.00";"10.99";"13.52";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Helikopter 97 el.";"";"https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023-1.jpg | https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023.jpg | https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023-2.jpg | https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023-3.jpg | https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023-4.jpg | https://icom-poland.com/media/products/faea4873ce24ed146a60c6ada6ef34b2/images/KB84023-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6926233780806";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1033.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB84027";"Klocki Blocki MyArmy Ciężarówka Wojskowa 183 el.";"PLN";"";"23.00";"27.99";"34.43";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Ciężarówka Wojskowa 183 el.</p>";"";"https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027-1.jpg | https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027.jpg | https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027-2.jpg | https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027-3.jpg | https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027-4.jpg | https://icom-poland.com/media/products/6d9ec498ceb92106c08186d76d2137d5/images/KB84027-5.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6926238140803";"0";"0";"0";"1";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1071.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|PROMOCJE";"Icom Poland"
"KB84024";"Klocki Blocki MyArmy Wóz Zwiadowczy 219 el.";"PLN";"";"23.00";"27.99";"34.43";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"Klocki Blocki MyArmy Wóz Zwiadowczy 219 el.";"";"https://icom-poland.com/media/products/37064292cef6840c88488e511db21310/images/KB84024.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6926238110806";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1380.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy";"Icom Poland"
"KB84021";"Klocki Blocki MyArmy Samolot 339 el.";"PLN";"";"23.00";"54.99";"67.64";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"<!--[mode:tiny]--><p>Klocki Blocki MyArmy Samolot 339 el.</p>";"";"https://icom-poland.com/media/products/2f7287775e269d762810f98590b7b052/images/KB84021.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6944811840216";"0";"0";"0";"1";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1746.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyArmy
OFERTA|PROMOCJE";"Icom Poland"
"KB8052";"Klocki Blocki MyFireBrigade Remiza 300 el.";"PLN";"";"23.00";"49.99";"61.49";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"48/0
";"";"https://icom-poland.com/media/products/e2b4af15aa2083307931bc5815b9a389/images/KB8052.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922892670809";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"1.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyFireBrigade";"Icom Poland"
"KB8056";"Klocki Blocki MyFireBrigade Helikopter 89 el.";"PLN";"";"23.00";"10.99";"13.52";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1";"";"96/48";"";"https://icom-poland.com/media/products/5d2a9c6ddafb1d5334faa70086ce012a/images/KB8056.jpg";"0.00";"0";"szt.";"1.00";"0.00";"0.00";"1";"0";"1";"100.00";"";"6922892700803";"0";"0";"0";"0";"0";"0.00";"0";"0.00";"";"0.00";"0.00";"0.00";"0.00";"";"";"";"";"";"0";"6.00";"1";"";"";"";"";"";"0";"0";"";"0";"0";"0";"OFERTA|BLOCKI|MyFireBrigade";"Icom Poland"
