name,"image url",price
"Chain Guard",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K10-ALU.jpg.ashx?mh=171&mw=171,$99.95
"Mirror Extensions",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-11JME-010.jpg.ashx?mh=171&mw=171,$86.95
"V-Strom Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-11JTP-000.jpg.ashx?mh=171&mw=171,$29.95
"Fuel Cap Decal, Black Grain",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-1/990D0-17K04-BLK.jpg.ashx?mh=171&mw=171,$19.95
"Accessory Bar",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K00-030.jpg.ashx?mh=171&mw=171,$299.95
"Top Case Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K00-060.jpg.ashx?mh=171&mw=171,$237.95
"Top Case Plate",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K01-060.jpg.ashx?mh=171&mw=171,$229.95
"Side Case Carrier Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K01-065.jpg.ashx?mh=171&mw=171,$579.95
"Handlebar Brace",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K01-075.jpg.ashx?mh=171&mw=171,$79.95
"Tank Pad, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K01-RED.jpg.ashx?mh=171&mw=171,$33.95
"Tank Protector, Clear",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K02-PAD.jpg.ashx?mh=171&mw=171,$25.95
"Wide Footrest",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28K10.jpg.ashx?mh=171&mw=171,$329.95
"Decal Set, Red",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28KA7-RED.jpg.ashx?mh=171&mw=171,$89.95
"Decal Set, White",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-2/990D0-28KA7-WHT.jpg.ashx?mh=171&mw=171,$89.95
"Front Wheel Decal, Grey V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JF5-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Front Wheel Decal, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JF6-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Rear Wheel Decal, Grey V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-3/990D0-31JR5-PAD.jpg.ashx?mh=171&mw=171,$29.95
"Rear Wheel Decal, Red V-Strom",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$29.95
"2-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0A2.jpg.ashx?mh=171&mw=171,$19.95
"4-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0B4.jpg.ashx?mh=171&mw=171,$36.95
"6-Piece Lock Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALLOK-0A6.jpg.ashx?mh=171&mw=171,$49.95
"Aluminum Side Case Set, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSC5-037.jpg.ashx?mh=171&mw=171,$749.95
"Aluminum Side Case Set, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSC6-037.jpg.ashx?mh=171&mw=171,$749.95
"Aluminum Side Case Set, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSCB-NAR.jpg.ashx?mh=171&mw=171,$899.95
"Aluminum Side Case Set, Black ",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSCE-NAR.jpg.ashx?mh=171&mw=171,$899.95
"Silver Graphic Set",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALSTK-000.jpg.ashx?mh=171&mw=171,$44.95
"38L Top Case, Silver",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALTC1-038.jpg.ashx?mh=171&mw=171,$439.95
"38L Top Case, Black",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-A/990D0-ALTC2-038.jpg.ashx?mh=171&mw=171,$439.95
"55 Liter Top Case",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-E/990D0-E5500.jpg.ashx?mh=171&mw=171,$349.95
"Top Case Backrest",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-T/990D0-TC25L-005.jpg.ashx?mh=171&mw=171,$139.95
"Gel Seat  ('04-'11)",https://store.suzukicycles.com/~/media/Store/Cycles/9/99950-62186.jpg.ashx?mh=171&mw=171,$249.95
"Center Stand ('04-'13)",https://store.suzukicycles.com/~/media/Store/Cycles/4/42100-27822.jpg.ashx?mh=171&mw=171,$379.95
"Center Stand, V-Strom 1000 ('14-'19)",https://store.suzukicycles.com/~/media/Store/Cycles/4/42100-31812.jpg.ashx?mh=171&mw=171,$299.95
"Low Seat, Black/Gray",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J50-AR8.jpg.ashx?mh=171&mw=171,$234.95
"Low Seat Khaki",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J50-AT3.jpg.ashx?mh=171&mw=171,$234.95
"High Seat, Black/Gray",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J60-AR8.jpg.ashx?mh=171&mw=171,$234.95
"Low Seat, Gray",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J70-BGQ.jpg.ashx?mh=171&mw=171,$234.95
"Low Seat, Yellow",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J70-BGR.jpg.ashx?mh=171&mw=171,$234.95
"Low Seat, Blue",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$234.95
"High Seat, Gray",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$234.95
"High Seat, Yellow",https://store.suzukicycles.com/~/media/Store/Cycles/4/45100-31J80-BKL.jpg.ashx?mh=171&mw=171,$234.95
"High Seat, Blue",https://store.suzukicycles.com/~/media/Store/Cycles/n/NoImage.png.ashx?mh=171&mw=171,$234.95
"Touring Screen",https://store.suzukicycles.com/~/media/Store/Cycles/4/48400-31810.jpg.ashx?mh=171&mw=171," $199.95 $134.75"
"Heated Grip Set",https://store.suzukicycles.com/~/media/Store/Cycles/5/57100-28840.jpg.ashx?mh=171&mw=171,$349.95
"Heated Grip Set",https://store.suzukicycles.com/~/media/Store/Cycles/5/57100-31840.jpg.ashx?mh=171&mw=171,$279.95
"Hand Guard Set ('14-'19)",https://store.suzukicycles.com/~/media/Store/Cycles/5/57300-31851-291.jpg.ashx?mh=171&mw=171,$69.95
"Side Case Set",https://store.suzukicycles.com/~/media/Store/Cycles/9/93100-31820.jpg.ashx?mh=171&mw=171,$795.95
"Top Case",https://store.suzukicycles.com/~/media/Store/Cycles/9/93300-31810.jpg.ashx?mh=171&mw=171,$749.95
"Side Case Brackets",https://store.suzukicycles.com/~/media/Store/Cycles/9/93700-31830_Upper.jpg.ashx?mh=171&mw=171,$129.95
"Top Case Adapter Plate",https://store.suzukicycles.com/~/media/Store/Cycles/9/93900-31810.jpg.ashx?mh=171&mw=171,$129.95
"Lower Cowling",https://store.suzukicycles.com/~/media/Store/Cycles/9/94400-31860.jpg.ashx?mh=171&mw=171,$159.95
"Fog Lamp Set",https://store.suzukicycles.com/~/media/Store/Cycles/9900/99000-990D2-210.jpg.ashx?mh=171&mw=171,$524.95
"Fog Lamp Set",https://store.suzukicycles.com/~/media/Store/Cycles/9900/99000-990D2-214.jpg.ashx?mh=171&mw=171,$499.95
"Suzuki Tire Valve Caps",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-1/990A0-19069.jpg.ashx?mh=171&mw=171,$13.95
"V-Strom Full Cover",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-3/990A0-37002.jpg.ashx?mh=171&mw=171,$139.95
"Suzuki Dry Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-3/990A0-37010.jpg.ashx?mh=171&mw=171,$99.95
"Small Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64004.jpg.ashx?mh=171&mw=171,$21.95
"Large Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64005.jpg.ashx?mh=171&mw=171,$29.95
"Medium Carbon Tank Pad",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64015.jpg.ashx?mh=171&mw=171,$26.95
"Carbon Fuel Cap Decal",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64073.jpg.ashx?mh=171&mw=171,$24.95
"Carbon Fuel Cap Decal",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-6/990A0-64083.jpg.ashx?mh=171&mw=171,$24.95
"""S"" Emblem",https://store.suzukicycles.com/~/media/Store/Cycles/990A0-9/990A0-94020.jpg.ashx?mh=171&mw=171,$19.95
"Ring Mount",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04105-000.jpg.ashx?mh=171&mw=171,$49.95
"Small Ring Lock Tank Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04300.jpg.ashx?mh=171&mw=171,$139.95
"Large Ring Lock Tank Bag",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04600.jpg.ashx?mh=171&mw=171,$249.95
"Ring Mount Adapter",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-04610.jpg.ashx?mh=171&mw=171,$49.95
"Red Wheel Decal, 19"" Front",https://store.suzukicycles.com/~/media/Store/Cycles/990D0-0/990D0-06LFW-RED.jpg.ashx?mh=171&mw=171,$29.95
